ID,company_name,city,state,location,size,website,industry,description,revenue,founded,company_type,logo_url
450,HireTalent - Diversity Staffing & Recruiting Firm,Unknown,Unknown,Unknown,"501-1,000 employees",http://www.hiretalent.com/,Staffing and Recruiting,"HireTalent is a certified Minority Business Enterprise (MBE) workforce solutions firm, specializing in securing the best talent fits in Executive/Retained Search, Direct Hire Placements, MSP, SOW, and nationwide hiring program management and support.

We are building the next generation workforce while influencing the evolution of the talent and staffing industry as a collaborative and supportive thought leader.   We have built a non profit called Consciously Unbiased  focused on expanding the diversity movement.   https://wearthisproud.com

Our focus on process, fit, and value, combined with our proprietary technology and specialized team of Recruiters, Account Managers, and Sourcers ensure the highest levels of satisfaction throughout the talent engagement. 

Compared to industry averages, HireTalent’s results speak for themselves:
• 2X faster submission time and complete requisition coverage 
• 140% higher interview rate 
• 45% better fill-rate 
• 52% lower bill-rate 
• 2X lower attrition rate 

HireTalent's Industry Recognition:
  * Ranked as one of the top Diversity Staffing Firms by Staffing Industry Analysts. 
  * Selected by the prestigious INC. 500/5000 list as one of the fastest-growing companies in the United States.

  * NMDSC certified MBE and Certified USPAACC business.

Follow us on LinkedIn:  https://www.linkedin.com/company/hiretalent_ 

Connect with us on LinkedIn for updates on openings, or reach out to us regarding your search and staffing needs by emailing info@hiretalent.com. 

To submit your resume to us, please email us at recruiter@hiretalent.com.

Visit us at: http://www.hiretalent.com

Specialties:
Executive Search, Recruiting, Staffing, Vendor Management, Temporary Staffing, Technology Staffing, Startup Recruiting, Technology Recruiting, Workforce Compliance, Staff Augmentation, Contingency Staffing, MSP/VMS Staffing, Diversity Recruiting, Payroll Solutions

#consciouslyunbiased #diversity",Unknown,1997.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHehObDjpdjFA/company-logo_200_200/0/1519906807149?e=1677715200&v=beta&t=lLTAD4hYBa9ZDR8-khV65KyPZg8XiPhlcfFI0NzukyI
451,Ask Meno,Gainesville,FL,"Gainesville, FL",11-50 employees,www.menosystems.com/,E-Learning Providers,"Driving Student-led Inquiry in Social Studies while Igniting Curiosity in Students through the Power of their own Questions

We are a group of former educators, linguistics experts, learning scientists, parents, and unconventional innovators that are passionate about student-led inquiry. We see a new generation of elementary teachers and their students that have re-discovered the power of asking quality questions to unlock learning, empowering both the low and high performers. This is their genius: to think critically, develop intrinsic motivation, and to learn through questions. 

Who is Ask Meno? Meno is greek for holding something constantly. It’s not a person but a principle: Ask Continuously. Ask Meno launched the world's first AI powered co-teacher designed for social studies standards in early Elementary grades. 

Meet our first AI, George Washington, created as a classroom engagement tool to help teachers foster curiosity and sustain an environment of student-led inquiry. Students learn to ask questions and then ask questions to learn. 

“The important thing is not to stop questioning; never lose a holy curiosity.” - Albert Einstein.",Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/D560BAQGkIIkWpZC3UQ/company-logo_200_200/0/1667406748679?e=1677715200&v=beta&t=4fBfs_yV27TkmeQhvXKXCy8IBG7qpnCmUdQbDOXETvg
452,National Football League (NFL),New York,NY,"New York, NY","1,001-5,000 employees",http://www.nfl.com/,Sports Teams and Clubs,"The National Football League is America's most popular sports league, comprised of 32 franchises that compete each year to win the Super Bowl, the world's biggest annual sporting event. Founded in 1920, the NFL developed the model for the successful modern sports league, including national and international distribution, extensive revenue sharing, competitive excellence, and strong franchises across the board. The NFL is the industry leader on a wide range of fronts.

Headquartered in New York City, the NFL expands across the nation and the globe with the offices including the NFL Media office based in Culver City, CA, the NFL Films office based in Mt. Laurel, NJ. The NFL also has satellite offices in Atlanta, Washington DC, and Chicago. Our International offices are located in the UK, China, Mexico & Canada.",Unknown,1920.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQETv6EWy3yuYw/company-logo_200_200/0/1625144223531?e=1677715200&v=beta&t=d_vzdHYEyfgb04jEcyopXj4mFcYdobbqn8C-ihoCv54
453,Boundless Brilliance,Los Angeles,CA,"Los Angeles, California",2-10 employees,https://www.boundlessbrilliance.org/,Non-profit Organizations,"Boundless Brilliance is a LA based nonprofit that energizes young girls to embrace their brilliance and works to close the gender gap in STEM fields. To accomplish our mission, we bring free presentations to elementary school classrooms that encourage students to explore futures in STEM fields. Our presenters are a diverse group of college student volunteers who are passionate about equity in STEM. Our goal is to dismantle the exclusionary conception of who can be a scientist before young students are old enough to internalize the social biases that exist in the field. At Boundless Brilliance, we aim to show all students that their potential is infinite, their intelligence is unlimited, and that anyone can be a scientist. We want to build interest in science among marginalized students to build a more egalitarian future. 

The organization was founded in January 2017 by three women at Occidental College. In 1.5 years, the Occidental College chapter of Boundless Brilliance has grown to 60 volunteers, delivering hundreds of presentations at 11 local schools, reaching over 7,000 students. Boundless Brilliance is currently building additional college chapters throughout Southern California. ",Unknown,2017.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHegxZCQq5Pow/company-logo_200_200/0/1528680445569?e=1677715200&v=beta&t=I0brezkDeEjxWjFOvYVd4-AL-FpRhDFdVXvgSdAiqfU
454,Orion Photo Group,Unknown,Unknown,Unknown,51-200 employees,http://www.orionphotogroup.com/,Photography,"Specializing in photojournalism, Orion Photo Group offers its clients award-winning quality at an unmatched value. Our professionalism and standards of excellence are known throughout the industry, with our network of photographers and videographers being some of the very best local talent. Orion Photo Group enables its freelance photographers and videographers to do what they do best – focus on capturing the important moments. Do more of what you love, while we manage the rest! 

Orion Photo Group offers services nationwide, providing unlimited opportunities for clients and talent members. Having been in the business for over a decade, Orion Photo Group provides clients with exceptional quality at an unmatched value, and talent members access to ongoing free education from our industry experts, along with many other opportunities for professional growth and advancement. ",Unknown,2004.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQH9mFka6uVkpA/company-logo_200_200/0/1648120163799?e=1677715200&v=beta&t=dnBNKv0zojnb6HI9jn9fBegSHvvy5zfwHMG4UzrMnB8
455,Anonymous Content,Culver City,CA,"Culver City, California",201-500 employees,http://anonymouscontent.com/,Entertainment Providers,"Anonymous Content is a visionary and disruptive media company that produces multi-platform premium content and boasts an exceptional client roster which includes many of the world’s most renowned and innovative directors, writers, actors, and comedians. The company’s award-winning Film & TV division boasts many commercially successful and critically acclaimed works. Current Anonymous Content films include the highly anticipated upcoming SWAN SONG (Apple TV+) as well as the recently released WORTH (Netflix), STILLWATER (Focus Features) and THE MIDNIGHT SKY (Netflix). The company is also behind the three-time Academy Award winning film THE REVENANT, Best Picture Academy Award winning film SPOTLIGHT, and Academy Award winning film for Best Original Screenplay, ETERNAL SUNSHINE OF THE SPOTLESS MIND. The company’s TV credits include TRUE DETECTIVE (HBO), MR. ROBOT (USA Network), SCHITT’S CREEK (POP), HOMECOMING (Amazon), 13 REASONS WHY (Netflix), DICKINSON (Apple TV+), HOME BEFORE DARK (Apple TV+), and DEFENDING JACOB (Apple).  In 2018, Anonymous Content created The Lab, a creative incubator designed to push the boundaries of how brands tell stories by engaging emerging filmmakers and diverse storytellers.  Through its Commercial work, Anonymous Content is also the driving creative force behind countless leading global brands.",Unknown,1999.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHLj026nx-frQ/company-logo_200_200/0/1519856244055?e=1677715200&v=beta&t=jGf4a_69OOrwI33S4C8KHAEURYHAOLsErqUdE65sPMM
456,Ripple Effect Studios,Marina Del Rey,CA,"Marina Del Rey, CA",51-200 employees,https://www.ea.com/ea-studios/ripple-effect/,Computer Games,"We are Ripple Effect Studios, a game development studio, based in Los Angeles, California, working with DICE, located in Stockholm, Sweden, on Battlefield 2042 as well as an unannounced project. At Ripple Effect, we believe that a small idea can change the world. Like a ripple through water, one small action or idea can have a resonating effect that drives big change. The studio is driven by the notion of making big shifts in the industry through small, constant impacts that will change how the industry approaches game development, live service, studio life and community engagement. ",Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQFUCWxqANJjBw/company-logo_200_200/0/1625786379125?e=1677715200&v=beta&t=N_cYxUt12AyTOQBFLis-u8HafBtJFn_EU3femDH8Df4
457,Yotta Games,Unknown,Unknown,Unknown,"1,001-5,000 employees",http://www.yottastudios.us/home/,Computer Games,"In Sept. 2012, a team of players with dreams of making world-class games decided to embark on a new adventure so they founded Yotta Games to make games they loved playing. 

At Yotta, we are all players who are inspired by the games we have loved in the past and the teammates we play alongside today. We make every one of our games for ourselves as much as for the +250 million players around the world who love what we make. All +1700 Yotta team members at all of our offices have joined us because they want to bring their creativity, artistry, and business acumen to making games that players love to play. And now, with over a decade of success under our belts, we have the resources to fuel ever more innovative projects to capture not only audiences’ hearts, minds, and attention, but our own.

Today, even though Yotta has +1700 employees around the world, boasts a fanbase +250 million strong, and was ranked 47th on the list of the world’s top app publishers in 2022, our vision is still the same as it was when we were founded back in 2012: to achieve international recognition as a world-class studio making world-class games. Over the past 10 years, we are making that vision real every day. Yotta has launched a succession of creative, innovative games whose success fueled a fantastic expansion and we have creative talent that drove us to even greater heights. We have been blessed with great fans and great success, but our goal can never be really completed. To keep making the games we want to play, we have to continuously innovate and imagine and forge ahead in new directions, building new worlds and telling new stories that will also be loved by new players. Our mission requires us to keep an eye on the future even as we look to the present, searching for a unique blend of inspiration, creativity, daring, and discernment wrapped up in hungry, visionary talent who love games as much as we do and who passionately strive to entertain the world.",Unknown,2012.0,Unknown,https://media-exp1.licdn.com/dms/image/D560BAQH800xlIWAYlw/company-logo_200_200/0/1655954325125?e=1677715200&v=beta&t=4eBfQn2JDY-nC10k1CiZB4p8X626zNsf_9Ri03jmdqk
458,College of Western Idaho,Nampa,ID,"Nampa, id","501-1,000 employees",http://cwi.edu/,Higher Education,"College of Western Idaho (CWI) is a comprehensive community college providing higher education programs to residents of Western Idaho.  We offer a full range of academic and professional-technical courses leading to an Associate of Arts or Science degree, transfer degrees, professional-technical degrees, continuing education, and certificates. CWI also offers basic academic skills to help prepare for a GED, dual credit for high school students, and fast-track career training for working professionals. Choose from classes offered at a variety of campuses throughout the Treasure Valley or online. We schedule to meet your educational needs during the day, evening, and weekends.",Unknown,2007.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQE2a09uhI7Eww/company-logo_200_200/0/1619812577422?e=1677715200&v=beta&t=CkmntyVVmkPnLG6t9xGB41PYX6bkKr2Nx06mKk-moB0
459,Forbes,Jersey City,NJ,"Jersey City, NJ",201-500 employees,http://www.forbes.com/,Book and Periodical Publishing,"Forbes Media is a global media, branding and technology company, with a focus on news and information about business, investing, technology, entrepreneurship, leadership and affluent lifestyles. The company publishes Forbes, Forbes Asia, and Forbes Europe magazines as well as Forbes.com. The Forbes brand today reaches more than 94 million people worldwide with its business message each month through its magazines and 37 licensed local editions around the globe, Forbes.com, TV, conferences, research, social and mobile platforms. Forbes Media’s brand extensions include conferences, real estate, education, financial services, and technology license agreements.  

Forbes is an equal opportunity employer.",Unknown,1917.0,Unknown,https://media-exp1.licdn.com/dms/image/D4E0BAQF-t47ix2ppcg/company-logo_200_200/0/1664975262278?e=1677715200&v=beta&t=RDgKibCK2fVHbyjFDotk9FNE9TRnPZ-kLlGEGtVPsdo
460,R.E. Mason,Charlotte,NC,"Charlotte, North Carolina",201-500 employees,https://remason.com/,Software Development,"R.E. Mason provides expertise and solutions that help our customers manufacture quality products in North Carolina, South Carolina, and Virginia. We achieve this through innovative process automation, operations management software, and reliability solutions. 

Our team of industry experts has been serving Energy, Life Sciences, Pulp & Paper, Chemical, Metals & Mining, and Consumer Products customers for over 80 years. We are dedicated to providing exceptional experiences and sustained value for our customers.

As an Emerson Impact Partner, we can serve as a local, single point of contact for sales, service, and applied engineering for Emerson Automation Solutions. Our long-standing, strategic partnership fosters unique experience and expertise to consistently and predictably apply the full breadth of Emerson technologies. ",Unknown,1940.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQEWMdmt8KFSBw/company-logo_200_200/0/1543412520355?e=1677715200&v=beta&t=06gvWT_QeX_Hxj1NYdjKIShVyeColzpXuEknznRS7Bk
461,Saint Clair Management,Carrollton,TX,"Carrollton, Texas",201-500 employees,Unknown,Restaurants,A Subway Mega-Franchisee in North Texas,Unknown,1991.0,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQF5bTqQjz0fqA/company-logo_200_200/0/1600339246705?e=1677715200&v=beta&t=bL9LYnohAqGFPYBe88vxPjQ549pRMaTnRvhA3BtSzSo
462,Syngenta,Basel,Basel,"Basel, Basel","10,001+ employees",http://www.syngenta.com/,Farming,"Syngenta is one of the world’s leading agriculture companies. Our ambition is to help safely feed the world while taking care of the planet.  We aim to improve the sustainability, quality and safety of agriculture with world class science and innovative crop solutions. Our technologies enable millions of farmers around the world to make better use of limited agricultural resources. Syngenta is part of Syngenta Group with 53,000 people in more than 100 countries and is working to transform how crops are grown. Through partnerships, collaboration and The Good Growth Plan we are committed to accelerating innovation for farmers and nature, striving for carbon neutral agriculture, helping people stay safe and healthy and partnering for impact. To learn more visit www.syngenta.com and www.goodgrowthplan.com. Follow us on Twitter at www.twitter.com/Syngenta.",Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQFeiVvkDTsZAw/company-logo_200_200/0/1625502898377?e=1677715200&v=beta&t=kLU3KoHHR8jGWpOzYSdiAspY80VvTfa86IdUkLYxFF0
463,The Lullabar Inc.,San Diego,CA,"San Diego, California",2-10 employees,https://thelullabar.com/,Wellness and Fitness Services,"The Lullabar is a wellness cafe for mothers and caregivers to retreat to. Offering spa services, The Lullabar allows caregivers to take time for themselves while the little ones are safely entertained in our children's play gym. Our cafe/retail space provides an adult-focused atmosphere so that mamas can enjoy a good cup of coffee - hassle and shame-free - just like everyone else.",Unknown,2021.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQEpGM0vf3XVRg/company-logo_200_200/0/1632520108809?e=1677715200&v=beta&t=CH7-2ce0iEkAcc2Dp--Md3wGRa1jhqjZfqG-Ofb86zE
464,Shiseido,Minato-ku,Tokyo,"Minato-ku, Tokyo","10,001+ employees",https://corp.shiseido.com/en/,Personal Care Product Manufacturing,"Shiseido is one of the top cosmetics companies in the world, with a rich portfolio of international brands in 120 countries and regions.

Among others, Shiseido owns the following prominent cosmetics, skincare and fragrance brands: SHISEIDO, NARS, Clé de Peau Beauté, BENEFIQUE, ELIXIR, IPSA, MAQUILLAGE, INTEGRATE, AUPRES, ANESSA and ISSEY MIYAKE.  

Our mission―BEAUTY INNOVATIONS FOR A BETTER WORLD―is to offer solutions to social problems and achieve a sustainable society, helping people find happiness through our mainstay beauty business. We strive to create a better world through beauty innovations, as we perceive and respond to each person's profound need for betterment in an ever-changing global environment. 

For more than 150 years our history and tradition have been built on distinctive innovations in each era. Today, we are taking on new challenges and making a concerted effort across the entire Group to pursue innovations that break the status quo and meet the diverse beauty values and needs of people around the world.

As a global beauty company of Japanese origin, we not only develop cosmetics, but introduce and create unprecedented products and new value that go beyond. Through these activities, we realize “beauty innovations” leading to new lifestyles for consumers around the world. 

※ All comments and queries will be responded to in due course.",Unknown,1872.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQFDXtBmBcOPCg/company-logo_200_200/0/1569890449539?e=1677715200&v=beta&t=fA1BETw5I9BF1DyeAFMX9de6nM8zeHd5FBmYefkGKAU
465,GES - Global Experience Specialists,Las Vegas,NV,"Las Vegas, NV","1,001-5,000 employees",http://www.ges.com/,Events Services,"GES is a global full-service provider for the exhibitions industry. We create impactful and influential exhibitions for our clients by leveraging the right blend of hard-earned experience, fresh ideas, and deep industry knowledge along with strategic insight.  

 

GES’ “Grow Together” approach fuels growth strategies to assist clients in successfully maximizing their show-floor presence and sponsorships, while providing data-driven solutions to boost revenue. 

Our mission is to deliver extraordinary exhibition experiences through simple, user-friendly services and best-in-class execution. ",Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQEO_I6jRUh_CA/company-logo_200_200/0/1519856428220?e=1677715200&v=beta&t=1njjWv4vP-oKQshjL-crfCOxgpLVvK2OreDvpsMtSCM
466,CareSource,Dayton,OH,"Dayton, OH","1,001-5,000 employees",http://www.caresource.com/about-us/careers/,Insurance,"Health Care with Heart. It is more than a tagline; it’s how we do business. CareSource has been providing life-changing health care to people and communities for nearly 30 years and we will continue to be a transformative force in the industry by placing people over profits. 

CareSource is and will always be members first. Even as we grow, we remember the reason we are here – to make a difference in our members’ lives by improving their health and well-being. Today, CareSource offers a lifetime of health coverage to nearly 2 million members through plan offerings including Marketplace, Medicare Advantage and Medicaid. With our team of 4,000 employees located across the country, we continue to clear a path to better life for our members. Visit the ""Life"" section to see how we are living our mission in the states we serve.

CareSource is an equal opportunity employer and gives consideration for employment to qualified applicants without regard to race, color, religion, sex, age, national origin, disability, sexual orientation, gender identity, genetic information, protected veteran status or any other characteristic protected by applicable federal, state or local law.  If you’d like more information about your EEO rights as an applicant under the law, please click here: https://www.eeoc.gov/employers/upload/poster_screen_reader_optimized.pdf and here: https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf

Si usted o alguien a quien ayuda tienen preguntas sobre CareSource, tiene derecho a recibir esta información y ayuda en su propio idioma sin costo. Para hablar con un intérprete, Por favor, llame al número de Servicios para Afiliados que figura en su tarjeta de identificación.

如果您或者您在帮助的人对 CareSource 存有疑问，您有权 免费获得以您的语言提供的帮助和信息。 如果您需要与一 位翻译交谈，请拨打您的会员 ID 卡上的会员服务电话号码。",Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQHxlpaLP6WA8g/company-logo_200_200/0/1519856457801?e=1677715200&v=beta&t=1raBlcLd3FSjM40HXEBcYYy-CXPIp1kTDzDUQj3qXk8
467,Live! Casino & Hotel,Hanover,MD,"Hanover, Maryland","1,001-5,000 employees",https://maryland.livecasinohotel.com/,Gambling Facilities and Casinos,"Live! Casino & Hotel is one of the largest commercial casinos in the country, located in the Washington DC/Baltimore corridor, just off I-95, Route 100 and the B/W Parkway at Arundel Mills. Open 24/7/365, the property features more than 200 live action table games, including a Poker Room; approximately 4,000 slot machines; two High Limit rooms; and the Orchid Gaming & Smoking Patio. Guests can enjoy five-star accommodations, including 310 luxury guest rooms; the Live! Spa; world-class dining, featuring the Zagat-rated #1 steakhouse The Prime Rib®; David’s, featuring global cuisine; Bobby’s Burger Palace, from celebrated chef Bobby Flay; The Cheesecake Factory®; Luk Fu and 8 at Luk Fu, serving authentic sushi and Asian cuisine; Morty’s Deli; Latin cuisine at En Vivo; Orchis Kitchen; and Luckies, offering Starbucks coffee, pastries, and Italian gelato; and Maryland’s NEWEST sports bar Sports & Social; the R Bar; and The Lobby Bar at David’s. A 4,000-seat Event Center, opening in two phases, featuring 40,000-square-feet of meeting and banquet space, and a performance venue with a regular lineup of headline entertainment completes the Live! experience. Enjoy secure covered parking with valet service and a free self-park garage with Park Assist® and direct elevator access to the casino floor. The newly-renovated Live! Lofts boutique hotel, located just minutes from the Casino, features 250 guest rooms and suites, and approximately 3,400-square-feet of meeting and banquet space. For reservations, call 443-445-2929, or book online at maryland.livecasinohotel.com. Live! Casino & Hotel is owned and operated by a company that is affiliated with The Cordish Companies. Call 855-5MD-LIVE (855-563-5483); or visit maryland.livecasinohotel.com or LiveCasino.social. Follow us on Facebook, Twitter and Instagram. 

For employment opportunities, visit maryland.livecasinohotel.com/careers",Unknown,2012.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQFCguUAZ-m5qQ/company-logo_200_200/0/1625147750028?e=1677715200&v=beta&t=7-GAxd6sDyoFkZydAO3URLDlh8Rg9ohQ7V_PfvPJKuE
468,This Represents,Los Angeles,CA,"Los Angeles, CA",2-10 employees,http://www.thisrepresents.com/,Photography,"This Represents is an artist agency representing photographers, directors and illustrators in the United States and abroad.",Unknown,2014.0,Unknown,https://media-exp1.licdn.com/dms/image/C510BAQHvecMn7G45_g/company-logo_200_200/0/1519886671016?e=1677715200&v=beta&t=U8JXGq8ccwosn4SBIOGSrnkp5N081gTRRE-Izl3wPVo
469,Netflix,Los Gatos,CA,"Los Gatos, CA","10,001+ employees",https://jobs.netflix.com?utm_campaign=LIHomePage&utm_source=linkedin/,Entertainment Providers,"Netflix is the world's leading streaming entertainment service with 221 million paid memberships in over 190 countries enjoying TV series, documentaries, feature films and mobile games across a wide variety of genres and languages. Members can watch as much as they want, anytime, anywhere, on any Internet-connected screen. Members can play, pause and resume watching, all without commercials or commitments.",Unknown,1997.0,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQEVb0ZISWk8vQ/company-logo_200_200/0/1519896425167?e=1677715200&v=beta&t=eIqvgLWHgaLK0vefKgM25MH3bqkZycgHmKQjtdVBdoY
470,Thrive Communities,Seattle,WA,"Seattle, Washington",201-500 employees,http://thrivecommunities.com/,Real Estate,"Thrive is an award winning apartment management firm
that also specializes in value-add repositioning and development services.

Thrive’s property management team is seasoned and energetic. They are demonstrated leaders in their field — who are passionate about people and disciplined in their approach to providing great service.

We approach each property not as a fee assignment, but with the perspective of owners of a distinct operating business. This level of dedication can be seen in everything we do: from our financial arrangements to our detailed reporting to how we engage with residents. 

With our fully-integrated and hands-on, horizontal team approach
we are changing the face of property management.",Unknown,2008.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQEdEu1kraCl7w/company-logo_200_200/0/1655493453464?e=1677715200&v=beta&t=GUr9qJRiQ-WiIWRQ2SqhW6-zL20G0R-97MugbSLO4oo
471,Greif,Delaware,OH,"Delaware, Ohio","10,001+ employees",http://www.greif.com/,Packaging and Containers Manufacturing,"Greif (NYSE: GEF, GEF.B), is a global leader in industrial packaging products and services and is pursuing its vision: be the best performing customer service company in the world. The Company produces steel, plastic and fibre drums, intermediate bulk containers, reconditioned containers, containerboard, uncoated recycled paperboard, coated recycled paperboard, tubes and cores and a diverse mix of specialty products. The Company also manufactures packaging accessories and provides filling, packaging and other services for a wide range of industries. Greif also manages timber properties in the southeastern United States. The Company is strategically positioned in more than 35 countries to serve global as well as regional customers. Additional information is on the Company's website at www.greif.com.",Unknown,1877.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHoFljGi84x3g/company-logo_200_200/0/1649164193851?e=1677715200&v=beta&t=YvlgtTtlo8dRrPcHrordLZcIT3UcydMBP3ce8t0RyTE
472,HireArt,New York,NY,"New York, New York",51-200 employees,http://www.hireart.com/,Staffing and Recruiting,"HireArt is the single all-in-one tool to hire, employ, and manage your contract workforce. 

Companies like Toyota Research Institute, Via, Didi and more use HireArt to find, vet, onboard, & manage their entire contract workforce. All in one, single, unified platform. We curate the best available W2 contractors from the nation’s top staffing firms, job boards, & HireArt’s own direct pool of highly-vetted talent. 

HireArt’s technology onboards new hires in minutes and uses an intuitive UI for employers and employees alike, streamlining access to W-2s, timesheets, expenses, and more. 

By combining some of the best benefits offerings in the industry with expert HR support, HireArt offers a downright delightful employment experience with a contractor NPS score of 75%. All while remaining 100% compliant. 

Learn more about what we’re building at www.hireart.com today!",Unknown,2012.0,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQH3tCjOx7d5eQ/company-logo_200_200/0/1623163198982?e=1677715200&v=beta&t=wvm6G4nTugsHs8eyDUg77AyAUrwng5k9D_dhpg29aKY
473,Electronic Arts (EA),Redwood City,CA,"Redwood City, CA","10,001+ employees",http://ea.com/,Computer Games,"We exist to inspire the world to play. We put our people first, and we thrive off their diversity in our innovative technology and immersive storytelling. We’re doing the work to give everyone the space to be their full selves while giving back to our community, no matter where you’re working from. We’re looking for problem-solvers, game-changers, innovators, dreamers, doers—people that are ready to move the needle and transform the future of gaming. Join us.  ",Unknown,1982.0,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQFbKWw79sJOaQ/company-logo_200_200/0/1631741855112?e=1677715200&v=beta&t=7adl53vlTRD2JSPbwQzJZ2kd51bP-0mNLRKrJNtzoaE
474,MAC Cosmetics,Unknown,Unknown,Unknown,"10,001+ employees",http://www.maccosmetics.com/,Personal Care Product Manufacturing,"M∙A∙C - Makeup Art Cosmetics

http://www.maccosmetics.com/
http://www.youtube.com/MACcosmetics
http://www.macartiststweets.com/
http://www.maccosmetics.tumblr.com
http://www.twitter.com/maccosmetics
http://www.macaidsfund.org/
http://www.vivaglam.com",Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQEo2lscQODxnA/company-logo_200_200/0/1575920614396?e=1677715200&v=beta&t=3Ix6mzbuszK99ZYWKOHTndy5O1VCW6k9Kbywm4vlY8U
475,Vanderbilt University,Nashville,TN,"Nashville, Tennessee","1,001-5,000 employees",http://vanderbilt.edu/,Higher Education,"Vanderbilt University is a top-ranked teaching and research university in Nashville, Tennessee. Powered by collaboration.

Follow Vanderbilt on Facebook, Twitter, TikTok and Instagram @VanderbiltU. See more Vanderbilt social media at https://social.vanderbilt.edu/

Located in Nashville, Tenn., and operating at a global crossroads of teaching and discovery, Vanderbilt University is a community of individuals who come to work each day with the simple aim of changing the world. It is a place where your expertise will be valued, your knowledge expanded and your abilities challenged. It is a place where your diversity — of culture, thinking, learning and leading — is sought and celebrated. It is a place where students and employees know they are part of something that is bigger than themselves, take exceptional pride in their work and never settle for what was good enough yesterday.

We hire hundreds of employees each year and have a wealth of opportunities ranging from information technology to development and dining to athletics.

We are Vanderbilt. Join Us.

Our comment policy: https://news.vanderbilt.edu/resources/about/comment-policy",Unknown,1873.0,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQEhR74nz4kJ6g/company-logo_200_200/0/1648406543052?e=1677715200&v=beta&t=NKygCMoHntjBAmKF-DiOAfATpx2sukkb9gxqou-4Sn8
476,KAR Global,Carmel,IN,"Carmel, IN","1,001-5,000 employees",https://www.karglobal.com/,Motor Vehicle Manufacturing,"KAR Global (NYSE:KAR) is a Fortune 1000 company headquartered in the Indianapolis suburb of Carmel, Indiana, with 10,000 employees across the United States, Canada, Mexico, the United Kingdom and Europe. Our diverse team helps the world’s largest automotive manufacturers, financial institutions, insurance companies and dealer groups buy, sell and trade used vehicles. In 2018 we facilitated nearly 3.5 million transactions valued at over $40 billion through our physical, online, and digital/mobile auction marketplaces.

The KAR group of companies comprises more than 20 brands, including ADESA, AFC and additional business units. ADESA operates 74 wholesale used vehicle auctions. AFC provides inventory financing and comprehensive business services to primarily independent used vehicle dealers from its 127 locations. 

Together, KAR’s complementary businesses provide support, technology and logistics for the used vehicle industry. For the latest news and insights, follow us on Twitter @KARspeaks.",Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQG-_lbBP5e7-Q/company-logo_200_200/0/1569844208084?e=1677715200&v=beta&t=ZSCsYIOO5kDqH2cjaHbqMvjjFVvvd84RSmve_SFkQPg
477,Marklund,Geneva,IL,"Geneva, IL","501-1,000 employees",http://www.marklund.org/,Individual and Family Services,"Marklund makes everyday life possible for people with profound disabilities. It is a not-for-profit organization that serves infants, children, teens and adults with developmental disabilities and special health care needs.

Claire Haverkampf, R.N., and her husband, Stan, founded Marklund during the Christmas holidays of 1954 when they began to foster Mark William Lund, a little boy born with Down Syndrome and severe cardiac complication. After opening their expanded Northlake home to more children with developmental disabilities, the Haverkampfs and their two children moved their ""family"" to a larger home they build in Bloomingdale. Today, we are proud to say that the Haverkampfs' vision has grown into three campuses--The Marklund Hyde Center, a 6-home adult residential campus and developmental training facility in Geneva, and the Marklund Philip Center  and Marklund Wasmond Center, medically complex/DD residential and DT facilities in Bloomingdale and Elgin. The organization also includes the Marklund Day School in Bloomingdale, which provides specialized education for children ages 3-21 with multiple medical needs and those on the autism spectrum.",Unknown,1954.0,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQFvRsXLx9uG9w/company-logo_200_200/0/1519933783011?e=1677715200&v=beta&t=0KrWwlK1JekXuSjan0CBZqNx4ixrZg9-DbH53jdcE3I
