name,url,headquarter,size,founded,company_type,industry,description,revenue,company_url,
Dow Jones,"https://www.glassdoor.com/Overview/Working-at-Dow-Jones-EI_IE208.11,20.htm","Monmouth Junction, 061",5001 to 10000 Employees,1882,Subsidiary or Business Segment,Broadcast Media,"Dow Jones is a global provider of news and business information, delivering content to consumers and organizations around the world across multiple formats, including print, digital, mobile and live events. Dow Jones has produced unrivaled quality content for more than 130 years and today has one of the world’s largest newsgathering operations globally. It produces leading publications and products including the flagship Wall Street Journal, America’s largest newspaper by paid circulation; Factiva, Barron’s, MarketWatch, Financial News, DJX, Dow Jones Risk & Compliance, Dow Jones Newswires, and Dow Jones VentureSource. Dow Jones is a division of News Corp (NASDAQ: NWS, NWSA; ASX: NWS, NWSLV).",$500 million to $1 billion (USD),http://www.dowjones.com/,
NetSpend,"https://www.glassdoor.com/Overview/Working-at-Netspend-EI_IE148258.11,19.htm","Austin, TX",501 to 1000 Employees,1999,Subsidiary or Business Segment,Financial Transaction Processing,"Netspend offers prepaid debit cards to people who can't or don't want to deposit their money in a bank. The company offers pre-paid debit cards directly to consumers via the Internet or through major check cashers (such as ACE), convenience stores, and supermarkets. Clients can reload their cards for a fee at more than 100,000 locations. Netspend's cards include features such as direct deposit, bill pay, savings accounts, and transfers. The company targets the more than 60 million underbanked consumers in the US and has more than 2 million active cards. Netspend was founded in 1999 by Rogelio and Bertrand Sosa, brothers who immigrated from Mexico in 1986. The company went public in October 2010 but was later bought by TSYS.",$5 to $25 million (USD),http://www.netspend.com/,
Guaranteed Rate,"https://www.glassdoor.com/Overview/Working-at-Guaranteed-Rate-EI_IE318640.11,26.htm","Chicago, IL",5001 to 10000 Employees,2000,Company - Private,Banking & Lending,"The Guaranteed Rate Companies, which includes Guaranteed Rate Inc., Guaranteed Rate Affinity, LLC, and Proper Rate, LLC, has more than 8,000 employees in over 700 offices across the U.S. Headquartered in Chicago, Guaranteed Rate Inc. is one of the largest retail mortgage lenders in the United States funding $37 billion in 2019. Founded in 2000 and licensed in all 50 states and Washington, D.C., Guaranteed Rate Companies has helped homeowners nationwide with home purchase loans and refinances. The company has established itself as an industry leader by introducing innovative technology, offering low rates and delivering unparalleled customer service. 2017 marked the launch of Guaranteed Rate Affinity, LLC, a mortgage origination joint venture between Guaranteed Rate, Inc. and Realogy Holdings Corp. (NYSE: RLGY), a global leader in residential real estate franchising and brokerage. In 2020, the company launched Proper Rate, LLC, a mortgage origination joint venture between Guaranteed Rate and @properties, one of the nation's largest residential brokerage firms. Collectively, the companies have earned honors and awards including: HousingWire’s 2020 Tech100 award for the company’s industry-leading FlashClose SM technology; Top Lender for Online Service for 2018 by U.S. News & World Report; No. 3 ranking in Scotsman Guide's Top Retail Mortgage Lenders 2019; Chicago Agent Magazine’s Lender of the Year for four consecutive years; Chicago Tribune's Top Workplaces list for seven consecutive years; and Best Online Mortgage Lender, Best Mortgage Lender for VA loans and Best Conventional Mortgage Lender by NerdWallet in 2019. Visit rate.com for more information.",$500 million to $1 billion (USD),http://www.rate.com/,
"CGI Group, Inc.","https://www.glassdoor.com/Overview/Working-at-CGI-EI_IE8452.11,14.htm","Fairfax, VA",10000+ Employees,1976,Company - Public (GIB),Business Consulting,"Founded in 1976, CGI is a leading provider of IT and business consulting services with 88,500 consultants and professionals across 400 offices worldwide.

Join our talent network to learn more about Life at CGI: https://hubs.ly/Q01p2nTX0",$10+ billion (USD),https://www.cgi.com/us/en-us/careers,
Driven Brands,"https://www.glassdoor.com/Overview/Working-at-Driven-Brands-EI_IE229898.11,24.htm","Charlotte, NC",1001 to 5000 Employees,2006,Company - Public (DRVN),Automotive Parts & Accessories Stores,"Driven Brands™, headquartered in Charlotte, NC, is the largest automotive services company in North America, providing a range of consumer and commercial automotive needs, including paint, collision, glass, vehicle repair, oil change, maintenance and car wash. Driven Brands is the parent company of some of North America’s leading automotive service businesses including Take 5 Oil Change®, Meineke Car Care Centers®, Maaco®, 1-800-Radiator & A/C®, and CARSTAR®. Driven Brands has more than 4,500 locations across 15 countries, and services over 50 million vehicles annually. Driven Brands’ network generates more than $1.7 billion in annual revenue from more than $5.0 billion in system-wide sales.",$100 to $500 million (USD),http://www.drivenbrands.com/,
Pediatric Associates,"https://www.glassdoor.com/Overview/Working-at-Pediatric-Associates-FL-EI_IE636218.11,34.htm","Plantation, FL",1001 to 5000 Employees,1955,Company - Private,Health Care Services & Hospitals,"Pediatric Associates is Florida’s largest privately owned primary care pediatric practice, with more than 200 providers and 34 convenient locations extending from Jacksonville to Miami. Our facilities offer families comprehensive services, including X-ray and state certified laboratories. We are open 365 days a year with weekend, evening and holiday hours for your convenience. Our mission is to enhance the lives of all children and their families by delivering the highest quality pediatric healthcare in a compassionate and healthy environment.

Founded in 1955, Pediatric Associates opened its first office in Hollywood, Florida. Since then, our physicians have cared for generations of families with our first patients now bringing their children, grandchildren and great-grandchildren to our practice.

We were one of the first medical groups to introduce satellite office locations staffed by multiple physicians and one of the first pediatric groups to embrace managed care in the 1970s.",Unknown / Non-Applicable,http://www.pediatricassociates.com/,
BP,"https://www.glassdoor.com/Overview/Working-at-BP-EI_IE9011.11,13.htm","London, United Kingdom",10000+ Employees,1908,Company - Public (BP),Energy & Utilities,"BP is one of the world's leading integrated oil and gas companies. We provide customers with fuel for transportation, energy for heat and light, lubricants to keep engines moving, and the petrochemicals products used to make everyday items as diverse as paints, clothes and packaging.",$10+ billion (USD),http://www.bp.com/,
Citizens,"https://www.glassdoor.com/Overview/Working-at-Citizens-EI_IE13640.11,19.htm","Providence, RI",10000+ Employees,1828,Company - Public (CFG),Banking & Lending,"Citizens is one of the oldest and largest financial services firms in the United States. Headquartered in Providence, Rhode Island, where our roots date back to 1828, we are an award-winning bank that offers retail and commercial banking products and services to individuals, small businesses, middle-market companies, large corporations and institutions. With top-ranked mobile apps, robust online offerings, a 24/7 customer contact center, the convenience of approximately 3,200 ATMs and 1,200 branches in 11 states, we're helping retail customers every day. Our mortgage, auto, student lending businesses operate nationwide, as does our Commercial Banking business. Our commercial bank offers corporate, not-for-profit and institutional clients a broad range of wholesale banking products and services including treasury services, specialty finance, foreign exchange, capital markets and debt syndication.",$5 to $10 billion (USD),http://www.citizenscareers.com/,
UnitedHealthcare,"https://www.glassdoor.com/Overview/Working-at-UnitedHealth-Group-EI_IE1991.11,29.htm","Minnetonka, MN",10000+ Employees,1977,Company - Public (UNH),Health Care Services & Hospitals,"UnitedHealth Group is a health care and well-being company with a mission to help people live healthier lives and help make the health system work better for everyone.

We are 340,000 colleagues in two distinct and complementary businesses working to help build a modern, high-performing health system through improved access, affordability, outcomes and experiences.

Optum delivers care aided by technology and data, empowering people, partners and providers with the guidance and tools they need to achieve better health. UnitedHealthcare offers a full range of health benefits, enabling affordable coverage, simplifying the health care experience and delivering access to high-quality care.

We work with governments, employers, partners and providers to care for 146 million people and share a vision of a value-based system of care that provides compassionate and equitable care.

At UnitedHealth Group, our mission calls us, our values guide us and our diverse culture connects us as we seek to improve care for the consumers we are privileged to serve and their communities.

Diversity creates a healthier atmosphere: All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law. UnitedHealth Group is a drug-free workplace. Candidates are required to pass a drug test before beginning employment.",$10+ billion (USD),http://www.unitedhealthgroup.com/,
CAPITAL Services,"https://www.glassdoor.com/Overview/Working-at-Capital-Services-EI_IE2092289.11,27.htm","Sioux Falls, SD",201 to 500 Employees,1999,Unknown,Financial Transaction Processing,,Unknown / Non-Applicable,http://www.capitalsvcs.com/,
Trinity Solar Careers,"https://www.glassdoor.com/Overview/Working-at-Trinity-Solar-EI_IE1085646.11,24.htm","Wall, NJ",1001 to 5000 Employees,1994,Company - Private,Energy & Utilities,"Trinity Solar has been in business for more than 25 years. We are family owned, locally operated and maintain a Better Business Bureau A+ Rating. We have helped over 70,000 homeowners take control of their energy cost by making the change to clean solar energy.

Not just a career... but a career path to success! Trinity Solar offers you a career in one of the fastest growing fields in the country. A career with Trinity Solar is a path to personal and professional growth with a company who truly values its employees. Our employees enjoy competitive compensation, comprehensive benefits which include medical, dental, vision, and life insurance, employee assistance program, paid training, a generous PTO program, a 401k plan supported by a company match, the satisfaction of knowing they are working for an organization leading the way in clean energy initiatives and much MORE!",$100 to $500 million (USD),http://www.trinity-solar.com/,
Expatiate Communications,,,,,,,,,,
SPECTRUM,"https://www.glassdoor.com/Overview/Working-at-Spectrum-EI_IE1500006.11,19.htm","Stamford, CT",10000+ Employees,2016,Company - Public,Telecommunications Services,"Charter Communications, Inc. (NASDAQ:CHTR) is a leading broadband connectivity company and cable operator serving more than 31 million customers in 41 states through its Spectrum brand. Over an advanced communications network, the company offers a full range of state-of-the-art residential and business services including Spectrum Internet®, TV, Mobile and Voice.

For small and medium-sized companies, Spectrum Business® delivers the same suite of broadband products and services coupled with special features and applications to enhance productivity, while for larger businesses and government entities, Spectrum Enterprise provides highly customized, fiber-based solutions. Spectrum Reach® delivers tailored advertising and production for the modern media landscape. The company also distributes award-winning news coverage, sports and high-quality original programming to its customers through Spectrum Networks and Spectrum Originals. More information about Charter can be found at corporate.charter.com.",$10+ billion (USD),http://jobs.spectrum.com/,
Liberty Mutual Insurance,"https://www.glassdoor.com/Overview/Working-at-Liberty-Mutual-Insurance-EI_IE2874.11,35.htm","Boston, MA",10000+ Employees,1912,Company - Private,Insurance Carriers,"At Liberty Mutual, we want to help you embrace today and confidently pursue tomorrow. That’s why our company culture supports and champions each employee—helping you turn your passion into a rewarding profession. From comprehensive health and benefits to professional development opportunities, you’ll have access to the resources you need to pursue a meaningful career in an environment focused on openness, inclusion, trust and respect.

As a Fortune 100 global leader in property and casualty insurance with more than 45,000 employees in 29 countries and economies around the world, our dedication to putting others first extends beyond our organization. We’re also committed to being a force for social and environmental good, and championing sustainability and Diversity, Equity & Inclusion initiatives around the world. Whether you’re helping our customers navigate an important claim or developing a new environmentally friendly product, you can feel good about the work you do at Liberty Mutual.

We’ve spent more than 100 years creating innovative insurance products, services, ideas and technologies to meet the world’s ever-changing needs—breaking away from old mindsets and thinking outside of traditional insurance roles. Why? Because we’re committed to transforming our industry in order to create peace of mind for our customers. We hope you’ll join us.",$10+ billion (USD),http://www.libertymutualgroup.com/,
First American Financial Corporation,"https://www.glassdoor.com/Overview/Working-at-First-American-Financial-Corporation-EI_IE2526.11,47.htm","Santa Ana, CA",10000+ Employees,1889,Company - Public (FAF),Insurance Carriers,"First American makes the dream of property ownership a reality for homebuyers, businesses and investors across the nation and abroad. We’re widely recognized as an outstanding place to work because we believe in putting People First. When employees love what they do, it makes for good business.

We invest in programs to develop employees, challenge them to create innovative solutions and empower them to provide superior customer service. We provide benefits for their well-being and encourage them to serve their communities. It’s an approach that’s put us on regional and national great place to work lists.

Our success is the result of contributions from a diverse group of people in an array of professional disciplines. In addition to careers in title, escrow and mortgage services, we have opportunities in customer care, finance, information technology, sales and corporate support.",$5 to $10 billion (USD),http://www.firstam.com/,
Genworth,"https://www.glassdoor.com/Overview/Working-at-Genworth-EI_IE34925.11,19.htm","Richmond, VA",1001 to 5000 Employees,2004,Company - Public (GNW),Insurance Carriers,"Genworth Financial, Inc. (NYSE: GNW) is a leading Fortune 500® insurance holding company dedicated to helping people secure their financial lives, families and futures. Genworth has leadership positions in products and services that assist consumers in protecting themselves, investing for the future and planning for retirement -- including life insurance, long term care insurance, financial protection coverages, and independent advisor-based wealth management -- and mortgage insurance that helps consumers achieve home ownership while assisting lenders in managing their risk and capital.

Our products and services are offered through financial intermediaries, advisors, independent distributors and sales specialists. Headquartered in Richmond, Virginia, Genworth traces its roots back to 1871 and became a public company in 2004.",$5 to $10 billion (USD),http://www.genworth.com/,
Insight Global,"https://www.glassdoor.com/Overview/Working-at-Insight-Global-EI_IE152783.11,25.htm","Atlanta, GA",1001 to 5000 Employees,2001,Company - Private,HR Consulting,"Insight Global isn’t just a staffing company. We’re a company that cares for others. It might sound lofty, but it's the idea that gets us up every day, determined to make it true. Insight Global is a company that people can anchor to in moments of triumph, struggle, and every time in between. Whoever you are and wherever you come from, you matter to us and we have your back. Whether it’s finding the right candidate for a job or seamlessly managing a project end to end, our conviction and commitment to our consultants and clients runs deep. With 60 field offices across the US and Canada, putting to work over 50,000 Consultants annually, we believe; together, anything is possible.",$25 to $100 million (USD),http://www.insightglobal.com/,
"Ursus, Inc.","https://www.glassdoor.com/Overview/Working-at-Ursus-EI_IE1590038.11,16.htm","Morgan Hill, NV",51 to 200 Employees,2015,Company - Private,Staffing & Subcontracting,"About Ursus-
Ursus is a technical and creative staffing provider, helping organizations achieve digital transformation & technology innovation for our clients. Hyper-focused on you – the candidate, the client, the partner, the employee and how to make your engagement with us the best possible experience it can be while delivering results.

Learn more at www.ursusinc.com or @ursusinc",$25 to $100 million (USD),http://www.ursusinc.com/,
Harnham,"https://www.glassdoor.com/Overview/Working-at-Harnham-EI_IE318757.11,18.htm","London, United Kingdom",51 to 200 Employees,2006,Company - Private,HR Consulting,"Harnham was founded in 2006 and we focus on recruiting within Data & Analytics across
multiple sectors, in the UK, the USA and Germany. We support global corporations through
to ambitious local start-ups, so whether they need a Credit Risk Manager in London, a Head
of Analytics in Frankfurt or a Data Scientist in New York we can help them achieve
their business goals.",$25 to $100 million (USD),http://www.harnham.com/,
Apex Systems,"https://www.glassdoor.com/Overview/Working-at-Apex-Systems-EI_IE13916.11,23.htm","Glen Allen, VA",1001 to 5000 Employees,1995,Company - Public,Enterprise Software & Network Solutions,"Apex Systems is a world-class technology services business that incorporates industry insights and experience to deliver solutions that fulfill our clients’ digital visions. We provide a continuum of service from workforce mobilization and modern enterprise solutions to digital innovation to drive better results and bring more value to our clients. Apex transforms our customers with modern enterprise solutions tailored to the industries we serve. Apex has a presence in over 70 markets across North America, Europe, and India. Apex is a segment of ASGN Inc. (NYSE: ASGN). To learn more, visit www.apexsystems.com.",$1 to $5 billion (USD),http://www.apexsystems.com/,
Expert Technical Solutions,"https://www.glassdoor.com/Overview/Working-at-Expert-Technical-Solutions-EI_IE2287722.11,37.htm","Atlanta, GA",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,http://www.experttechnical.com/,
Hired by Matrix,"https://www.glassdoor.com/Overview/Working-at-Hired-by-Matrix-EI_IE610016.11,26.htm","Glen Rock, NJ",51 to 200 Employees,1986,Company - Private,HR Consulting,"Hired by Matrix, Inc. founded in 1986, is a certified Woman-Owned Business Enterprise (WBE) dedicated to providing the highest quality of job opportunities to our candidates and staffing services to our clients. We are a full service staffing firm with experience recruiting and delivering for IT, Accounting & Finance, Administrative & Clerical and Marketing disciplines. Our long history in the staffing industry and dedication to excellence are the key differentiators that have fueled our success for over 30 years.

As the staffing industry evolves, Hired by Matrix continues to develop and grow. By combining our expertise with a keen understanding of each client’s needs we are able to source for the most qualified candidates. Our commitment to servicing our clients corresponds with our commitment to finding the perfect match between our clients and candidates and maintaining our relationships long term.",$5 to $25 million (USD),http://www.hiredbymatrix.com/,
Vinehouse Hiring,"https://www.glassdoor.com/Overview/Working-at-Vinehouse-essential-EI_IE7977661.11,30.htm","Normandy, United Kingdom",Unknown,,Company - Public,,,Unknown / Non-Applicable,http://vinehousehiring.com/,
Matlen Silver,"https://www.glassdoor.com/Overview/Working-at-Matlen-Silver-EI_IE30606.11,24.htm","Bridgewater, NJ",201 to 500 Employees,1980,Company - Private,Information Technology Support Services,"Experience Matters.

Let your experience be driven by our experience. For more than 40 years, Matlen Silver
has delivered solutions for complex talent and technology needs to Fortune 500 companies
and industry leaders. Led by hard work, honesty, and a trusted team of experts, we can say
that Matlen Silver technology has created a solutions experience and legacy of success
that is the difference in the way the world works.",$25 to $100 million (USD),http://www.matlensilver.com/,
Robert Half,"https://www.glassdoor.com/Overview/Working-at-Robert-Half-EI_IE1838.11,22.htm","Menlo Park, CA",10000+ Employees,1948,Company - Public (RHI),HR Consulting,"Robert Half is the world’s first and largest specialized talent solutions firm that connects opportunities at great companies with highly skilled job seekers.

We offer contract and permanent placement solutions for finance and accounting, management resources, technology, marketing and creative, legal, and administrative and customer support roles.

Named to FORTUNE’s World’s Most Admired Companies®, the Bloomberg Gender-Equality Index and Forbes' list of America’s Best Employers for Diversity, Robert Half is the parent company of Protiviti®, a global consulting firm that provides internal audit, risk, business and technology consulting solutions.

Robert Half has operations in more than 400 locations worldwide.",$5 to $10 billion (USD),http://www.roberthalf.com/,
Entegee,"https://www.glassdoor.com/Overview/Working-at-Entegee-EI_IE30888.11,18.htm","Burlington, MA",1001 to 5000 Employees,1996,Subsidiary or Business Segment,HR Consulting,"When businesses need help with engineering and technical projects, Entegee is ready. The company's staffing division places engineering and technical professionals -- including assemblers, designers, drafters, programmers, and technical writers -- with clients such as defense contractors, government agencies, and manufacturing and engineering companies. In addition, Entegee offers consulting and project-based services and outsourced engineering and drafting. It operates throughout the US from a network of about 20 offices. Entegee was a unit of MPS Group, which was acquired by global staffing rival Adecco in 2010.",$100 to $500 million (USD),http://www.entegee.com/,
NOVUS Professional Services Inc.,"https://www.glassdoor.com/Overview/Working-at-NOVUS-Professional-Services-DC-EI_IE2934353.11,41.htm","Colorado Springs, CO",1 to 50 Employees,1997,Company - Private,Enterprise Software & Network Solutions,"Founded in 1997 in the shadows of Colorado’s Rocky Mountains, NOVUS Professional Services was built from the beginning on three cornerstones:

1. Focus on Clients
2. Focus on Consultants
3. Focus on Technology

In any good business, the customer comes first – and NOVUS is no exception. Our client list includes both Fortune 500 companies as well as aspiring startups – and both tiers command our full attention to their needs. We treat each client with the respect they deserve, with the understanding that there is no shortage of contracting firms out there vying for their attention. The greatest compliment our consultants are paid is when a client says they thought our people were ‘their people,’ due to the dedication to the client’s needs.

Our consultants are selected from the top talent available in the marketplace, and they face a rigorous screening process before we put them in front of a client. Not just anyone can make it, but for those who do, they are rewarded with market-beating compensation, generous benefits, and incentives to help both our clients and NOVUS. We believe that a professional who is not respected and well taken care of cannot give their best performance to our clients.

Finally, NOVUS is a technology company. From software development and integration to technical project management, NOVUS consultants provide our clients with the technical expertise they need to thrive in our ever more connected world. Telecom underlies so much of what we take for granted today – from the lowly landline telephone that started it all to the always-on Internet connectivity of our various devices. Network complexity is growing exponentially, and there is a shortage of capable talent to help telecom companies design next generation solutions, provision and maintain networks, and bill customers for services.",$1 to $5 million (USD),http://www.novus-ps.com/,
Risk Solutions,"https://www.glassdoor.com/Overview/Working-at-RELX-EI_IE1023378.11,15.htm","London, United Kingdom",10000+ Employees,1880,Company - Public (REL),Information Technology Support Services,"RELX is a global provider of information-based analytics and decision tools for professional and business customers.

We help researchers make new discoveries, doctors and nurses improve the lives of patients, and lawyers develop winning strategies. We prevent online fraud and money laundering, and help insurance companies evaluate and predict risk. Our events combine in-person and digital experiences to help customers learn about markets, source products and complete transactions.

In short, we enable our customers to make better decisions, get better results and be more productive.

RELX serves customers in more than 180 countries and has offices in about 40 countries. It employs over 33,000 people, of whom almost half are in North America. We operate in four major market segments: Scientific, Technical & Medical; Risk; Legal; and Exhibitions.",$10+ billion (USD),http://www.relx.com/,
Apple,"https://www.glassdoor.com/Overview/Working-at-Apple-EI_IE1138.11,16.htm","Cupertino, CA",10000+ Employees,1976,Company - Public (AAPL),Computer Hardware Development,"We’re a diverse collective of thinkers and doers, continually reimagining what’s possible to help us all do what we love in new ways. And the same innovation that goes into our products also applies to our practices — strengthening our commitment to leave the world better than we found it. This is where your work can make a difference in people’s lives. Including your own.

Apple is an equal opportunity employer that is committed to inclusion and diversity. Visit apple.com/careers to learn more.",$10+ billion (USD),http://www.apple.com/,
