company_name,headquarters,website,size,industry,founded,description,url,img_url,state/area,city
Heath Consultants Incorporated,"Houston, Texas",https://heathus.com,"1,001-5,000 employees",Oil and Gas,1933.0,"Since 1933 Heath Consultants Incorporated has led the industry in the safety of natural gas utilities infrastructure through the innovative and conscientious actions of our employees. Our continued field services growth is due in large part to the addition of new field services, such as underground utility line locating, meter and corrosion services to our utility partners outside of our core emissions reduction focus.

Heath’s innovative products have led to safer survey practices for both gas utilities and within our own field services division. These breakthroughs in technology are due in large part to the efforts of our engineering and marketing experts who research and develop new products and services through strategic partnerships with well recognized research and development organizations and industry trade associations.

Heath is certified as a women’s business enterprise by the Women’s Business Enterprise National Council (WBENC), the nation’s largest third-party certifier of the businesses owned and operated by women in the U.S.

Every aspect of Heath's business is rooted in our seven core values: 

•Safety is our number one priority
•Communicate openly and honestly.
•Approach all that we do with a sense of urgency.
•Always do the right thing.
•Treat others as you wish to be treated.
•Strive for excellence in everything we do.
•Provide an environment that nurtures growth and enjoyment.

Heath relies on these values to deliver superior products and service to communities across the globe.",https://www.linkedin.com/company/heath-consultants/about,https://media-exp1.licdn.com/dms/image/D560BAQG1W9aPe4iN1w/company-logo_200_200/0/1665160930174?e=1677715200&v=beta&t=QJQL9rxEOdDX6_N7hzEIjYvS2-LE33tvPUXYMl17pck,TX,Houston
Numerator,"Chicago, Illinois",https://www.numerator.com,"1,001-5,000 employees",Market Research,,"Numerator is a data and tech company bringing speed and scale to market research.  Numerator blends first-party data from over 1 million US households with advanced technology to provide unparalleled 360-degree consumer understanding for the market research industry that has been slow to change. Headquartered in Chicago, IL, Numerator has more than 2,000 employees worldwide. The majority of Fortune 100 companies are Numerator clients.",https://www.linkedin.com/company/numerator/about,https://media-exp1.licdn.com/dms/image/C560BAQGpsGVksPQoWQ/company-logo_200_200/0/1656701410990?e=1677715200&v=beta&t=BhFBtjIY913CsWSsztVHyOPKimG8cc11ZZ7RqbA0f2s,IL,Chicago
Core & Main,"St. Louis, MO",https://coreandmain.com,"1,001-5,000 employees",Wholesale,2017.0,"Based in St. Louis, Core & Main is a leading specialized distributor of water, wastewater, storm drainage and fire protection products, and related services, to municipalities, private water companies and professional contractors across municipal, non-residential and residential end markets nationwide. With more than 300 locations, we provide our customers local expertise backed by a national supply chain. Our associates are committed to helping their communities thrive with safe and sustainable infrastructure.",https://www.linkedin.com/company/core-main/about,https://media-exp1.licdn.com/dms/image/C560BAQEaBi7p4hotPg/company-logo_200_200/0/1534347749161?e=1677715200&v=beta&t=vVqWlc85wawvukadpLxbt1px_-8lizK66bDN-eA7bkk,MO,St. Louis
SRC,"North Syracuse, New York",http://www.srcinc.com,"1,001-5,000 employees",Defense and Space Manufacturing,1957.0,"SRC, Inc., a not-for-profit research and development company, combines information, science, technology and ingenuity to solve “impossible” problems in the areas of defense, environment and intelligence. Across our family of companies, we apply bright minds, fresh thinking and relentless determination to deliver innovative products and services that are redefining possible® for the challenges faced by America and its allies.
 
Since 1957, our commitment to the customer and the best solution – not the bottom line – has remained a core value that guides our efforts. This passion for quality carries through to the technologies we invent and manufacture, the laboratories and facilities we build, the people we hire, and communities where we work. Today, more than 1,000 engineers, scientists and professionals work together at SRC to protect our people, environment and way of life. For more information, visit www.srcinc.com.",https://www.linkedin.com/company/srcdefense/about,https://media-exp1.licdn.com/dms/image/C560BAQFwdAduYUFr_A/company-logo_200_200/0/1519856375122?e=1677715200&v=beta&t=X_K1ObQN01ut94WzSIBWTRHMMV1f0NKyS8wA0f_2BEs,NY,North Syracuse
The Carlyle Group,"Washington, DC",http://www.carlyle.com,"1,001-5,000 employees",Investment Management,1987.0,"Carlyle (NASDAQ: CG) is a global investment firm with deep industry expertise that deploys private capital across three business segments: Global Private Equity, Global Credit and Global Investment Solutions. With $369 billion of assets under management as of September 30, 2022, Carlyle’s purpose is to invest wisely and create value on behalf of its investors, portfolio companies and the communities in which we live and invest. Carlyle employs more than 2,100 people in 29 offices across five continents.",https://www.linkedin.com/company/the-carlyle-group/about,https://media-exp1.licdn.com/dms/image/C4E0BAQHqSQLqncBw9A/company-logo_200_200/0/1599166653113?e=1677715200&v=beta&t=b-NFwv08iVMjb_8Dr3JZgex-Dgoq0h-wRDBt3Yt3hlM,DC,Washington
"Blue Cross and Blue Shield of Illinois, Montana, New Mexico, Oklahoma & Texas","Chicago, IL",http://www.hcsc.com/careers,"10,001+ employees",Hospitals and Health Care,,"Who We Are 
Imagine Something New, Something Different.

Health Care Service Corporation, a Mutual Legal Reserve Company (HCSC), is the largest customer-owned health insurer in the nation and the fourth largest overall. Operating through our Blue Cross and Blue Shield Plans in Illinois, Montana, New Mexico, Oklahoma and Texas (as well as a variety of affiliates and subsidiaries,) we are expanding access to high-quality, cost-effective health care. We are equipping members with information and tools so they can make the best health care decisions for themselves and their families.

HCSC is continuously recognized as an employer committed to community, diversity and inclusion, training and development.

HCSC is committed to pioneering the health care space in ways as effective as they are creative. If you are passionate about the impact you want to have through your work, with a desire to apply innovative thinking to new and emerging challenges, we encourage you to learn more about HCSC.

Learn about what we stand for, how we work and the difference we’re making in the lives of our 15 million members. Join HCSC and discover what new ways of thinking can mean for you, your community, our customers and our organization.



 
Divisions of Health Care Service Corporation, a Mutual Legal Reserve Company, an Independent Licensee of the Blue Cross and Blue Shield Association.

We are an Equal Opportunity Employment / Affirmative Action employer dedicated to workforce diversity and a drug-free and smoke-free workplace. Drug screening and background investigation are required, as allowed by law. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, national origin, disability, or protected veteran status.",https://www.linkedin.com/company/blue-cross-and-blue-shield-of-illinois-new-mexico-oklahoma-&-texas/about,https://media-exp1.licdn.com/dms/image/D560BAQExeAN0NurHrA/company-logo_200_200/0/1667299065998?e=1677715200&v=beta&t=ib6ipvjCJVT6MFe1iP9oBWa1jXiIlLyNQREkiTarNbk,IL,Chicago
"New Iron, Inc.","Austin, Texas",http://www.newiron.com,11-50 employees,Human Resources Services,,"Once upon a time we thought we would change the world building great software. 

There are a few twists and turns in the story, but New Iron the product company failed.
We started consulting to make ends meet, and in the process found our calling.

Our path has given us a unique perspective.
We've grown organically into a staffing and recruiting company with a focus on fit and technical excellence.

Our vision is to change the world by improving the hiring experience.",https://www.linkedin.com/company/new-iron/about,https://media-exp1.licdn.com/dms/image/C560BAQGojMKH1hEX1A/company-logo_200_200/0/1614701756819?e=1677715200&v=beta&t=VEweUUHwKJAaMKrCaUVwmDmid2xvRT_Y4ow_rOrL3Fg,TX,Austin
VitalMetrics,"Goleta, California",http://www.vitalmetrics.com,11-50 employees,Environmental Services,2005.0,"We empower organizations to see the full picture of their environmental impacts and advance their sustainability initiatives by combining best-in-class data, software, and industry expertise.

Find out why Fortune 500 companies, government agencies, and cities around the world partner with VitalMetics for all their GHG accounting, CDP reporting, LCA, and environmental data needs. Learn more at www.vitalmetrics.com.",https://www.linkedin.com/company/vitalmetrics/about,https://media-exp1.licdn.com/dms/image/C4E0BAQG6OBsfU2mYCA/company-logo_200_200/0/1519871400915?e=1677715200&v=beta&t=mxoE8P04sBCIRS9vH3NWqEEYKYq4DQZJ_r3teOHxYm0,CA,Goleta
American Technology Consulting - ATC,"Clive, Iowa",http://www.american-technology.net,51-200 employees,IT Services and IT Consulting,2007.0,"Born out of the challenges presented by the Great Recession of 2008, ATC has grown into a diversified Tech Company that has responded with speed and agility to many disruptions in more than a decade of existence.

In today’s fast-paced world, every business needs to be innovative to compete. That’s where we come in, by creating transformational software to dramatically improve productivity and create opportunities to get in front of the competition.

We are much more than the regular Custom Software Development Company. We solve business problems with technology in new and creative ways because we believe technology should enrich lives – that’s why we do what we do. 

We deliver strategy, design, automation, software development, managed services, and a multitude of IT solutions ranging from chatbots to Cloud transformations.

Through ATC Ventures, we fund inventive entrepreneurs with a passion for SaaS products and have built multiple tech startups from the ground up.
Our love affair with technology doesn’t stop with building great software. ATC’s Training division has trained over 10,000 professionals in various spheres of Information Technology. We are also a proud Scaled Agile Gold Transformation Partner providing training, coaching, and consulting services.
Headquartered in Iowa, with delivery centers in the United States and India, ATC is driven by a talented, passionate team willing to go the extra mile to bring great ideas to life.",https://www.linkedin.com/company/american-technology-consulting/about,https://media-exp1.licdn.com/dms/image/C4E0BAQHR71hWsUHv0g/company-logo_200_200/0/1575070098317?e=1677715200&v=beta&t=5wTKNRTw7qaRD5ysJOo9vOCZusavrkdpFeXHf-Vz3YU,IA,Clive
LinQuest,"Los Angeles, CA",https://www.linquest.com/,"1,001-5,000 employees",Defense and Space Manufacturing,2004.0,"LinQuest delivers performance excellence across the Air, Land, Sea, Space, and Cyberspace domains. We provide highly valued, state-of-the-art and cost effective technical solutions to the U.S. government, civil and commercial customers. LinQuest's services and products span the engineering, testing, operation and sustainment of critical capabilities and programs ranging from intricate systems and architectures to highly complex enterprises comprised of families of systems. LinQuest integrates technical and operational domain expertise with process discipline and delivers superior performance across the life cycle of programs.

Our Mission
To provide innovative and cost effective service and solutions to national security and industry customers focused on the convergence of C4ISR, information, and cyber systems.

Our Vision
To be a leader in the market for engineering and operational services with an impeccable record for customer mission success and where our employees excel at what they do.

Our Shared Core Values:
People
Teamwork
Customer satisfaction
Innovation
Excellence",https://www.linkedin.com/company/linquest/about,https://media-exp1.licdn.com/dms/image/C4E0BAQHQ5qA_zdmOLA/company-logo_200_200/0/1632857616790?e=1677715200&v=beta&t=8mYSEft3amhpQwvi7hRoIppxYD1pXISa1Cog6Gmg9vI,CA,Los Angeles
Penn Information Systems & Computing,"Philadelphia, PA",https://www.isc.upenn.edu,201-500 employees,IT Services and IT Consulting,,"ISC is Penn’s Trusted IT Partner, collaborating with the Penn community on IT services that enhance and support the mission of the University.
  
ISC is the University of Pennsylvania's central IT organization, providing the core network, data, voice, video, and enterprise application infrastructure and services upon which Penn’s numerous Schools and Centers build their unique tools and capabilities.

Check out all the engaging positions open at ISC  https://lnkd.in/gmx2ufrf

Our talented team members tell our story best!  https://lnkd.in/gaNYQW6b",https://www.linkedin.com/company/penn-information-systems-computing/about,https://media-exp1.licdn.com/dms/image/C4D0BAQEghcaCP4JZ1A/company-logo_200_200/0/1659021887134?e=1677715200&v=beta&t=d5HuXk2JLBg2qtHvsCUFvp79ELlQzTnIvOS7liR8ieE,PA,Philadelphia
A-MAX Auto Insurance,"Dallas, TX",http://www.amaxinsurance.com,"501-1,000 employees",Insurance,2002.0,"A-MAX Auto Insurance is an industry leader that specializes in providing low cost insurance to thousands of Texas residents and businesses.  At A-MAX, we are dedicated to exceeding expectations by continuing to set forth our commitment of providing excellent service, affordable rates, and convenient locations.  We believe that buying insurance should be quick, easy, and hassle-free; which is why we have made it our mission to simplify insurance by providing easy-to-understand, customized policies that best fit the needs and budgets of our customers.

History & Growth
Headquartered in the heart of Dallas, Texas, A-MAX Auto Insurance has rapidly expanded its company’s growth since its inception in 2002; and today has over 100 locations in more than 17 cities throughout the state.  Each of our locations is operated by A-MAX’s highly trained insurance agents that meticulously cater to each and every customer’s individual needs, which has forged our unmatched reputation for garnering the absolute finest employees.  

Working at A-MAX
A-MAX actively fosters the growth of our employees and company to maximize our positive impact in the community. Our motivation is to provide sustainable career opportunities for our employees and reward them for their dedication and commitment.

Over the last 5 years A-MAX has diligently aided in the economic growth of local communities by more than tripling our workforce and adding more jobs in low-to-middle income neighborhoods across Texas.  Today, A-MAX has more than 450 employees throughout the state and continues to grow which opens ample opportunities for advancement within our organization.

Connect with Us
For more information, visit www.amaxinsurance.com or call us at 800-921-AMAX.",https://www.linkedin.com/company/a-max-auto-insurance/about,https://media-exp1.licdn.com/dms/image/C560BAQEO9PTT-RQMbg/company-logo_200_200/0/1660329327117?e=1677715200&v=beta&t=0OHmB0vTc58SNFAjlEFrw3Y7gs1OU_I8fO_njcUHamw,TX,Dallas
Getty Images,"Seattle, Washington",http://www.gettyimages.com,"1,001-5,000 employees",Photography,,"Getty Images is a preeminent global visual content creator and marketplace that offers a full range of content solutions to meet the needs of any customer around the globe, no matter their size. Through its Getty Images, iStock and Unsplash brands, websites and APIs, Getty Images serves customers in almost every country in the world and is the first-place people turn to discover, purchase and share powerful visual content from the world’s best photographers and videographers. Getty Images works with over 488,000 contributors and more than 300 content partners to deliver this powerful and comprehensive content. Each year Getty Images covers more than 160,000 news, sport and entertainment events providing depth and breadth of coverage that is unmatched. Getty Images maintains one of the largest and best privately-owned photographic archives in the world with millions of images dating back to the beginning of photography.

For company news and announcements, visit our Press Room. ",https://www.linkedin.com/company/getty-images/about,https://media-exp1.licdn.com/dms/image/C4D0BAQEtXuce1HOWxQ/company-logo_200_200/0/1625167479409?e=1677715200&v=beta&t=0Ob24xz0K6Qo-wEoX6tYT1TC9emCv4WDQM6BLQpdaDA,WA,Seattle
Battelle,"Columbus, Ohio",http://www.Battelle.org,"10,001+ employees",Research Services,1929.0,"Every day, the people of Battelle apply science and technology to solving what matters most. At major technology centers and national laboratories around the world, Battelle conducts research and development, designs and manufactures products, and delivers critical services for government and commercial customers. Headquartered in Columbus, Ohio since its founding in 1929, Battelle serves the national security, health and life sciences, and energy and environmental industries. For more information, visit www.battelle.org.",https://www.linkedin.com/company/battelle/about,https://media-exp1.licdn.com/dms/image/C510BAQEMf5QYHlJy9w/company-logo_200_200/0/1519961528084?e=1677715200&v=beta&t=u2YqA8bjfFdwGSiNEbJbN7afyHDyIev7Cby9d7GX2o8,OH,Columbus
Aurora,"Mountain View, California",https://aurora.tech/,"1,001-5,000 employees",Motor Vehicle Manufacturing,2017.0,"Aurora (Nasdaq: AUR) is delivering the benefits of self-driving technology safely, quickly, and broadly. Founded in 2017 by experts in the self-driving industry, Aurora is revolutionizing transportation – making it safer, increasingly accessible, and more reliable and efficient than ever before. Its flagship product, the Aurora Driver, is a platform that brings together software, hardware, and data services,  to autonomously operate passenger vehicles, light commercial vehicles, and heavy-duty trucks. Aurora is partnered with industry leaders across the transportation ecosystem including Toyota, Uber, Volvo, FedEx, and PACCAR. Aurora tests its vehicles in the Bay Area, Pittsburgh, and Texas and has offices in those areas as well as in Bozeman, MT; Seattle, WA; Louisville, CO; and Wixom, MI. To learn more, visit www.aurora.tech.",https://www.linkedin.com/company/auroradriver/about,https://media-exp1.licdn.com/dms/image/C560BAQHQD9GxfHZWXQ/company-logo_200_200/0/1656522850309?e=1677715200&v=beta&t=496XHjMqqX9SEdMWbgEkgNKkmtrnEJvCaH7BOIMpafM,CA,Mountain View
Curate Partners,"Woburn, Massachusetts",http://www.curatepartners.com,11-50 employees,IT Services and IT Consulting,2014.0,"Curate Partners is a specialized recruitment agency that bridges the talent gap in digital transformation. We match quality talent with today’s hottest companies in tech innovation.

With our proven recruiting methodologies, we’ve curated a robust community of top talent, aka the “Purple Squirrels”. These individuals are the valuable game-changers every company needs to compete in a digital economy.

Curate Partners derives its name from the Latin word “to care” (cura). Translated into the English noun version, curate means “one who looks after souls”. We began our journey with a firm belief that our stakeholders–employees, candidates, clients and communities (charities) should be treated as equals and partners. People are the core of our business. Not numbers. Not spreadsheets. Not profits.


Curate Partners.
Real. Talented. People.",https://www.linkedin.com/company/curate-partners/about,https://media-exp1.licdn.com/dms/image/C4E0BAQFnSBW1ML-c2w/company-logo_200_200/0/1657637216391?e=1677715200&v=beta&t=yrGlTpnPcPQZQUP90EJzwE8tSKw53UPAX4bbaABnp4I,MA,Woburn
Yamaha Corporation of America,"Buena Park, CA",http://usa.yamaha.com,"10,001+ employees",Musicians,1960.0,"Yamaha Corporation of America (YCA) is one of the largest subsidiaries of Yamaha Corporation, Japan and offers a full line of award-winning musical instruments, sound reinforcement, commercial installation and home entertainment products to the U.S. market. YCA markets innovative, finely crafted technology and entertainment products and musical instruments targeted to the hobbyist, education, worship, music, professional audio installation and consumer markets.",https://www.linkedin.com/company/yamaha/about,https://media-exp1.licdn.com/dms/image/C560BAQHVSYgXq4riLw/company-logo_200_200/0/1657305518010?e=1677715200&v=beta&t=XDzt1UfhRTqZUstf52ClyMkoDV86S8wanLbX91Ly5ow,CA,Buena Park
Flagstar Bank,"Troy, MI",http://www.flagstar.com,"5,001-10,000 employees",Banking,,"Thanks for joining us on LinkedIn. At Flagstar, we believe in the Human Interest Rate. It’s not the interest rate other banks talk about, but we do. We have genuine interest in helping our customers achieve their financial goals and bringing solutions within reach. While you’re here, please reach out to us any time. 

Flagstar Bank offers exceptional full-service banking and lending expertise with a distinctive, personal focus. Chartered in 1987 as a federal savings bank, today Flagstar has assets of $31 billion, is the sixth largest bank mortgage originator nationally, and the third largest savings bank in the country. Our team’s bankers possess skill and pride in their work that is reflected in their genuine interest in helping our customers reach their financial goals. Follow us on Linkedin to stay up to date with Flagstar news and updates, new hires, community initiatives and banking industry updates that you need to know

 Flagstar Bank is a subsidiary of Flagstar Bancorp, which is listed on the New York Stock Exchange under the symbol FBC.

Flagstar believes that cultivating a diverse, inclusive, and respectful work culture engages employees, broadens perspectives, and encourages teamwork. We hire people who represent the talents, experiences, backgrounds, and diversity of the communities we serve. Our employees come from various disciplines—we’re bankers, lenders, underwriters, customer service agents, designers, IT professionals, writers, salespeople, processors, and more. Together, our unique backgrounds help fuel a thriving work environment fitted to make personalized solutions for each of our customers.",https://www.linkedin.com/company/flagstar-bank/about,https://media-exp1.licdn.com/dms/image/C560BAQEnH5wmCLnRbg/company-logo_200_200/0/1519856034111?e=1677715200&v=beta&t=6UYfdCc1SYXeXpWuBF8Xv1QOPBCLCw17QIFp0JNx0HQ,MI,Troy
McKesson,"Irving, Texas",https://bit.ly/3xadvB0,"10,001+ employees",Hospitals and Health Care,,"Welcome to the official LinkedIn page for McKesson Corporation. We're an impact-driven healthcare organization dedicated to “Advancing Health Outcomes For All.”

As a global healthcare company, we touch virtually every aspect of health. We work with biopharma companies, care providers, pharmacies, manufacturers, governments, and others to deliver insights, products and services that make quality care more accessible and affordable.  

To learn more about how #TeamMckesson helps improve care in every setting, visit: https://bit.ly/3xadvB0",https://www.linkedin.com/company/mckesson/about,https://media-exp1.licdn.com/dms/image/C560BAQFjODrUWVHQoA/company-logo_200_200/0/1656680505685?e=1677715200&v=beta&t=8KYCw6t15nwbdFBr_mjMipMljgteVzG8k_iaSKkL6OE,TX,Irving
